open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646145000000,44401.50,44514.10,43647.80,43796.90,29034.838,1646146799999,1277903510.91014,270305,13759.045,605644513.25544,0
1646146800000,43797.00,44052.50,43516.70,43882.70,19341.792,1646148599999,847466859.57429,189455,9701.175,425156443.09377,0
1646148600000,43882.70,43929.90,43324.80,43625.90,16860.683,1646150399999,734658929.10219,161748,7856.233,342382493.94914,0
1646150400000,43626.00,44120.50,43432.50,43611.20,14912.058,1646152199999,651922628.52515,143729,7701.239,336759655.06350,0
1646152200000,43611.30,43624.80,43202.10,43380.10,14320.362,1646153999999,621407189.72290,144097,6911.806,299983312.46964,0
1646154000000,43380.20,43568.60,43241.10,43474.60,9317.288,1646155799999,404539378.53731,98728,4709.367,204490499.08086,0
1646155800000,43474.50,43847.00,43380.10,43632.60,8287.246,1646157599999,361554455.70931,87696,4430.925,193337611.11410,0
1646157600000,43632.50,43734.50,43421.10,43507.80,5588.974,1646159399999,243346020.31880,59634,2634.427,114713656.30700,0
1646159400000,43507.70,43870.00,43493.20,43785.00,5970.048,1646161199999,261017266.74338,66593,3303.144,144414729.66125,0
1646161200000,43784.90,44038.00,43650.00,43942.90,6589.729,1646162999999,289003471.08695,74607,3442.619,151037223.13950,0
1646163000000,43942.90,43959.20,43635.50,43693.70,5052.436,1646164799999,221172803.23003,59091,2211.422,96819006.14254,0
1646164800000,43693.80,43973.00,43666.00,43842.20,6864.733,1646166599999,300906614.27454,73810,3589.335,157342872.84147,0
1646166600000,43842.20,44098.90,43783.20,44056.30,6121.568,1646168399999,269061324.07863,69210,3244.173,142606229.26814,0
1646168400000,44057.90,44259.00,43705.00,43992.50,9289.202,1646170199999,408921763.45375,97967,4821.555,212293491.82423,0
1646170200000,43992.50,44028.30,43724.70,43856.90,4021.135,1646171999999,176273608.52066,47079,2008.381,88043292.59836,0
1646172000000,43856.90,43945.40,43725.50,43927.80,2567.127,1646173799999,112563329.30407,32160,1322.111,57977712.26940,0
